Name;Rechtsform;Strasse;PLZ;Ort;Bundesland;Telefon;Email;Website;TAB_Niederspannung_Link;TAB_Stand;Anmeldeportal;Quelle;Recherche_Datum;Anmerkung
StWB Stadtwerke Brandenburg an der Havel GmbH & Co. KG;GmbH & Co. KG;Packhofstraße 31;14776;Brandenburg an der Havel;BB;03381 752 752;n/a;https://www.stwb.de/;https://www.stwb.de/wp-content/uploads/2024/10/TAB_NS_Nord-2023.pdf;TAB NS Nord 2023 (siehe auch Aenderungsdokument: https://www.stwb.de/wp-content/uploads/2024/10/Aenderungen-TAB-NS-Nord-2023.pdf);https://www.ngp-potsdam.de/LineRegister/ (Online-Planauskunft; separates Installateur-Anmeldeportal nicht gefunden);https://www.northdata.de , https://www.stwb.de/;"2026-09-18;Handelsregister Amtsgericht Potsdam HRA 6290. Netzbetrieb-Anschrift laut Website abweichend: Upstallstraße 11, 14772 Brandenburg an der Havel."
Elektroenergieversorgung Cottbus GmbH (Marke: Energienetze Cottbus);GmbH;Karl-Liebknecht-Straße 130;03046;Cottbus;BB;0355 724000;n/a;https://www.energienetze-cottbus.de/;n/a;n/a;https://www.energienetze-cottbus.de/de/Service/Netzportal/;https://www.stadtwerke-cottbus.de/ , https://www.energienetze-cottbus.de/;2026-09-18;"Netzbetreiber-Tochter der Stadtwerke Cottbus, tritt unter der Marke ""Energienetze Cottbus"" auf. TAB-Dokument liegt vermutlich im Downloadcenter (ueber 128 Dokumente, Direktlink nicht automatisiert lokalisierbar) - manuell pruefen: https://www.energienetze-cottbus.de/de/Service/Downloadcenter/"
Stadtwerke Eberswalde GmbH;GmbH;n/a;n/a;Eberswalde;BB;n/a;n/a;https://www.stadtwerke-eberswalde.de/;n/a;n/a;n/a;n/a;2026-09-18;UNSICHER/unvollstaendig: Website blockiert automatisierten Zugriff (HTTP 403 bei jedem Versuch). Es konnte nicht verifiziert werden, ob ein eigener Stromnetzbetrieb (Niederspannung) besteht - manuell pruefen.
Stadtwerke Finsterwalde GmbH;GmbH;Langer Damm 14;03238;Finsterwalde;BB;03531 670-333;n/a;https://www.stadtwerke-finsterwalde.de/;n/a;n/a;n/a;https://www.stadtwerke-finsterwalde.de/;2026-09-18;"Betreibt laut Website ein eigenes ""Netzanschlussportal"" fuer Strom/Ladeeinrichtung/Waermepumpe/PV-Anlage - Existenz eines eigenen Niederspannungsnetzes damit plausibel, TAB-Link nicht automatisiert gefunden."
Stadtwerke Forst GmbH;GmbH;Euloer Straße 90;03149;Forst (Lausitz);BB;03562 950-0;info@stadtwerke-forst.de;https://www.stadtwerke-forst.de/;n/a;n/a;n/a;https://www.stadtwerke-forst.de/;2026-09-18;"UNSICHER: Website zeigt primaer Stromvertrieb/Tarife, kein klarer Beleg fuer eigenen Stromnetzbetrieb (Niederspannung) gefunden. Erwaehnter Stoerungsdienst ""NBB"" bezieht sich vermutlich auf Gasnetz (Netzgesellschaft Berlin-Brandenburg), nicht Strom. Moeglich, dass tatsaechlicher Stromnetzbetreiber ein Dritter (z.B. E.DIS) ist - unbedingt manuell verifizieren."
Stadtwerke Frankfurt (Oder) GmbH;GmbH;Karl-Marx-Straße 195;15230;Frankfurt (Oder);BB;0335 5533-300;service@stadtwerke-ffo.de;https://stadtwerke-ffo.de/;n/a;n/a;n/a;https://www.stadtwerke-ffo.de/;2026-09-18;Kein separater TAB-Niederspannung-Link auf Website gefunden - manuell pruefen.
Städtische Betriebswerke Luckenwalde GmbH;GmbH;Kirchhofsweg 6;14943;Luckenwalde;BB;03371 682-0;info@sbl-gmbh.net;https://www.sbl-gmbh.net/;n/a;n/a;n/a;https://www.sbl-gmbh.net/;2026-09-18;"Nicht in urspruenglicher Startpunkt-Liste, zusaetzlich recherchiert. Firmiert im Alltag als ""Stadtwerke Luckenwalde""; Website bestaetigt eigenen Strom-Netzbetrieb (Netzinformation/Netzanschluss/Netznutzung Strom). TAB-Link nicht automatisiert gefunden."
Energie und Wasser Potsdam GmbH;GmbH;n/a;n/a;Potsdam;BB;n/a;n/a;https://www.ewp.de/;n/a;n/a;n/a;n/a;2026-09-18;UNSICHER/unvollstaendig: Website ewp.de in dieser Sandbox technisch nicht abrufbar (wiederholter Netzwerk-Timeout beim robots.txt-Abruf). Keine der angeforderten Detailinformationen konnte verifiziert werden - dringend manuell nachpruefen.
Stadtwerke Prenzlau GmbH;GmbH;Freyschmidtstraße 20;17291;Prenzlau;BB;03984 853-0;n/a;https://www.stadtwerke-prenzlau.de/;n/a;n/a;n/a;https://www.stadtwerke-prenzlau.de/;2026-09-18;"Nicht in urspruenglicher Startpunkt-Liste, zusaetzlich recherchiert. Website nennt Bereich ""Netzzugang"" Strom, Handelsregister Amtsgericht Neuruppin HRB-2141. TAB-Link nicht automatisiert gefunden."
Stadtwerke Schwedt GmbH;GmbH;Heinersdorfer Damm 55-57;16303;Schwedt/Oder;BB;03332 449-449;gk-energie@stadtwerke-schwedt.de;https://www.stadtwerke-schwedt.de/;n/a;n/a;n/a;https://www.stadtwerke-schwedt.de/ , https://netze.stadtwerke-schwedt.de/;2026-09-18;Nicht in urspruenglicher Startpunkt-Liste, zusaetzlich recherchiert und verifiziert. Eigene Netz-Subdomain (netze.stadtwerke-schwedt.de) vorhanden, TAB-Link dort nicht automatisiert gefunden.
